Model Year,Manufacturer,Model,Curb Weight,Drag Coeffiecents,Category,Fuel,Seats,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,PHEV Type,Total Range,All-Electric Range,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles per hour of charging),Charging Speed Level 2 (miles per hour of charging),Charging Speed DC Fast (miles per hour of charging),Battery Capacity (kWh),Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Drivetrain,Notes
2025,Audi,Q4 45 e-tron,4630,0.28,SUV,Electric,5,125,104,115,,,,,,288,11,150,3,31,282,81.6,,,e-motor,210 kW,,,,RWD,
2025,Audi,Q6 e-tron quattro,5300,0.27,SUV,Electric,,,,95-99,,,,,,295-307,,,,,,100,,,e-motor,140 and 280 kW,,,,AWD,
2025,Audi,Q8 e-tron quattro,5700,0.28,SUV,Electric,5,,,74-78,,,,,,254-272,9.6-19.2,170,3,44,315,114.3,,,e-motor,141 and 172 kW,,,,AWD,
2025,Audi,Q8 Sportback e-tron quattro,5650,0.26,SUV,Electric,5,,,74-78,,,,,,254-272,9.6-19.2,170,3,44,315,114.3,,,e-motor,141 and 172 kW,,,,AWD,
2025,Audi,SQ6 e-tron,5400,0.27,SUV,Electric,,96,82,89,,,,,,275,,,,,,100,,,e-motor,140 kW (x2),,,,AWD,
2025,Audi,SQ8 e-tron,5800,0.28,SUV,Electric,,,,60-70,,,,,,208-242,,,,,,114.3,,,e-motor,138 and 157 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,Audi,SQ8 Sportback e-tron,5750,0.26,SUV,Electric,,,,60-70,,,,,,208-242,,,,,,114.3,,,e-motor,138 and 157 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,BMW,i4 eDrive35 Gran Coupe,4680,0.24,Sedan/Wagon,Electric,,,,106-118,,,,,,244-266,11,195,4,33,463,84.2,,,e-motor,250 kW,,,,RWD,"Includes models with 18 and 19"" wheels"
2025,BMW,i4 eDrive40 Gran Coupe,4680,0.24,Sedan/Wagon,Electric,5,,,104-112,,,,,,295-318,11,195,4,33,463,84.2,,,e-motor,250 kW,,,,RWD,"Includes models with 18"" and 19"" wheels"
2025,BMW,i4 M50 Gran Coupe,5018,0.25,Sedan/Wagon,Electric,5,,,80-94,,,,,,227-267,11,196,4,33,463,105.7,,,e-motor,190 and 230 kW ,,,,4WD,"Includes models with 19"" and 20"" wheels"
2025,BMW,i4 xDrive40 Gran Coupe,4850,0.25,Sedan/Wagon,Electric,5,,,94-101,,,,,,268-287,11,195,4,33,463,105.7,,,e-motor,190 and 230 kW ,,,,AWD,"Includes models with 18"" and 19"" wheels"
2025,BMW,i5 eDrive40 Sedan,4850,0.23,Sedan/Wagon,Electric,,,,96-105,,,,,,271-295,11,195,4,33,463,84,,,e-motor,250 kW,,,,RWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i5 M60 xDrive Sedan,5300,0.23,Sedan/Wagon,Electric,5,,,84-90,,,,,,239-253,11,195,4,33,463,105.6,,,e-motor,190 and 230 kW ,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i5 xDrive40 Sedan,5000,0.23,Sedan/Wagon,Electric,5,,,87-93,,,,,,248-266,11,195,4,33,463,105.6,,,e-motor,192 and 250 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i7 eDrive50 Sedan,5820,0.24,Sedan/Wagon,Electric,5,,,85-88,,,,,,301-314,11,195,4,33,412,105.6,,,e-motor,335 kW,,,,RWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i7 M70 xDrive Sedan,5950,0.24,Sedan/Wagon,Electric,5,,,75-79,,,,,,268-285,11,195,4,33,412,111.8,,,e-motor,190 and 360 kW,,,,AWD,"Includes models with 20"" and 21"" wheels"
2025,BMW,i7 xDrive60 Sedan,5950,0.24,Sedan/Wagon,Electric,5,,,83-88,,,,,,296-311,11,195,4,33,412,105.6,,,e-motor,190 and 230 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,iX M60,5700,0.25,SUV,Electric,5,,,76-77,,,,,,284-285,11,195,3,28,393,111.8,,,e-motor,190 and 360 kW,,,,AWD,"Includes models with 21"" and 22"" wheels"
2025,BMW,iX xDrive40,5510,0.25,SUV,Electric,5,,,83-87,,,,,,211-219,11,195,3,28,393,111.8,,,e-motor,190 and 230 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,BMW,iX xDrive50,5670,0.25,SUV,Electric,5,,,81-83,,,,,,302-309,11,195,3,28,393,111.8,,,e-motor,190 and 230 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,Bugatti Rimac,Nevera,4740,0.3,Sedan/Wagon,Electric,,52,54,53,,,,,,204,,,,,,153.6,,,e-motor,226 (x2) and 450 (x2) kW,,,,4WD,
2025,Chevrolet,Blazer EV AWD,5163,0.29,SUV,Electric,5,102,87,95,,,,,,283,11.5,150-190,3,33,342,97.4,,,e-motor,67 and 180 kW,,,,AWD,
2025,Genesis,Electrified G80,5047,0.25,Sedan/Wagon,Electric,5,105,89,97,,,,,,282,11,230,3,32,530,87.2,,,e-motor,136 kW (x2),,,,AWD,
2025,Genesis,Electrified GV70,4850,0.28,SUV,Electric,5,98,83,91,,,,,,236,11,230,3,29,497,77.4,,,e-motor,74 and 160 kW,,,,AWD,
2025,Genesis,GV60 Advanced/Performance,4800,0.29,SUV,Electric,5,,,90-100,,,,,,235-264,11,230,3,29,491,77.5,,,e-motor,74 and 160 kW,,,,AWD,"Includes models with 19"" and 20"" wheels
"
2025,Genesis,GV60 RWD,4700,0.29,SUV,Electric,5,125,99,112,,,,,,294,11,230,3,29,491,77.5,,,e-motor,168 kW ,,,,RWD,
2025,GMC,Hummer EV Pickup,9000,0.38,Pickup,Electric,5,,,47-53,,,,,,289-318,19,300,2,28,356,194.9,,,e-motor,195 and 215 kW,,,,AWD,Includes models with MT tires
2025,GMC,Hummer EV Pickup,9000,0.38,Pickup,Electric,5,58,46,52,,,,,,312,19,300,2,28,356,194.9,,,e-motor,198 kW (x3),,,,AWD,
2025,GMC,Hummer EV SUV,8500,0.38,SUV,Electric,5,,,48-52,,,,,,289-312,19,300,2,30,377,194.9,,,e-motor,195 (x2) and 215 kW,,,,AWD,Includes models with MT tires
2025,GMC,Hummer EV SUV,8500,0.38,SUV,Electric,5,,,47-53,,,,,,282-315,19,300,2,30,377,194.9,,,e-motor,195 and 215 kW,,,,AWD,Includes models with MT tires
2025,Hyundai,Ioniq 5 N,4861,0.29,SUV,Electric,5,84,72,78,,,,,,221,11,199,4,35,503,84.1,,,e-motor,166 and 282 kW,,,,AWD,
2025,Hyundai,Ioniq 6 AWD,4500,0.21,Sedan/Wagon,Electric,5,,,103-121,,,,,,270-316,11,221,4,34,554,77.4,,,e-motor,74 and 165 kW,,,,AWD,"Includes models with 18"" and 20"" wheels"
2025,Hyundai,Ioniq 6 RWD,4300,0.21,Sedan/Wagon,Electric,5,,,111-132,,,,,,291-342,11,221,4,34,554,77.4,,,e-motor,168 kW,,,,RWD,"Includes models with 18"" and 20"" wheels"
2025,Hyundai,Ioniq 6 Standard Range,4200,0.21,Sedan/Wagon,Electric,5,151,120,135,,,,,,240,11,221,4,34,554,53.3,,,e-motor,111 kW,,,,RWD,
2025,Hyundai,Kona Electric,3800,0.29,SUV,Electric,5,,,103-116,,,,,,230-261,11,100,4,25,208,64.8,,,e-motor,150 kW,,,,FWD,"Includes Standard and long-range models with 17"" and 19"" wheels"
2025,Hyundai,Kona Electric Standard Range,3700,0.29,SUV,Electric,5,113,105,118,,,,,,200,11,100,4,25,208,48.5,,,e-motor,99 kW,,,,FWD,
2025,Kia,EV9 Long Range AWD,5700,0.3,SUV,Electric,6,,,80-83,,,,,,270-280,11,200,3,27,399,99.9,,,e-motor,141 (x2),,,,AWD,Includes GT-Line model
2025,Kia,EV9 Long Range RWD,5500,0.3,SUV,Electric,6,100,78,89,,,,,,304,11,200,3,27,399,99.9,,,e-motor,160 kW,,,,RWD,
2025,Kia,EV9 Standard Range RWD,5300,0.3,SUV,Electric,6,99,77,88,,,,,,230,11,200,3,27,399,76.2,,,e-motor,160 kW,,,,RWD,
2025,Kia,Niro Electric,3721,0.29,SUV,Electric,5,126,101,113,,,,,,253,7.2,75,4,24,199,64.8,,,e-motor,150 kW,,,,FWD,
2025,Lucid,Air G Touring XR AWD,5200,0.197,Sedan/Wagon,Electric,5,,,112-128,,,,,,446-512,19,300,4,69,876,136.8,,,e-motor,178 and 433 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,Lucid,Air Pure RWD,4800,0.197,Sedan/Wagon,Electric,5,,,129-146,,,,,,372-420,19,300,4,69,876,84.1,,,e-motor,330 kW,,,,RWD,"Includes models with 19"" and 20"" wheels"
2025,Lucid,Air Sapphire AWD,5200,0.197,Sedan/Wagon,Electric,5,108,101,105,,,,,,427,19,300,4,69,876,116.8,,,e-motor,310 kW (x3),,,,AWD,
2025,Lucid,Air Touring AWD,5000,0.197,Sedan/Wagon,Electric,5,,,116-132,,,,,,361-406,19,300,4,69,876,116.8,,,e-motor,178 and 433 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
